benchmark,n,base,base_lo,base_hi,tuned,tuned_lo,tuned_hi,diff,diff_lo,diff_hi,mcnemar_base_only,mcnemar_tuned_only,p_value,significant_at_0.05
GQA-ru testdev (Exact Match),1000,0.354,0.324,0.385,0.379,0.349,0.4090249999999996,0.025000000000000022,-0.0010000000000000009,0.04999999999999999,68,93,0.05822464403474129,False
MMBench-ru dev (accuracy),1000,0.527,0.496,0.558,0.626,0.596,0.656,0.09899999999999998,0.06999999999999995,0.128,71,170,1.5227862589244345e-10,True
