benchmark,model,nobos,bos,diff,lo,hi,p
GQA-ru,base,0.354,0.396,0.04200000000000004,0.01100000000000001,0.07300000000000001,0.008265424779617187
GQA-ru,lora,0.379,0.392,0.013000000000000012,-0.008000000000000007,0.03400000000000003,0.2752533344023912
MMBench-ru,base,0.527,0.632,0.10499999999999998,0.07599999999999996,0.134,2.6006244807287383e-12
MMBench-ru,lora,0.626,0.643,0.017000000000000015,0.0,0.03300000000000003,0.060370037339928545
