benchmark,bos,base,lora,diff,lo,hi,base_only,lora_only,p
GQA-ru,False,0.354,0.379,0.025000000000000022,-0.0010000000000000009,0.04999999999999999,68,93,0.05822464403474129
GQA-ru,True,0.396,0.392,-0.0040000000000000036,-0.020000000000000018,0.01200000000000001,35,31,0.7122308826373509
MMBench-ru,False,0.527,0.626,0.09899999999999998,0.06999999999999995,0.128,71,170,1.5227862589244345e-10
MMBench-ru,True,0.632,0.643,0.01100000000000001,-0.008000000000000007,0.030000000000000027,42,53,0.30488519070227593
